Timestamp,Longitude,Latitude,Operatorname,NetworkTech,Level,Speed,Altitude,Filemark
2025.04.02_18.45.41,77.897893,29.863926,JIO4G,4G,-87,3,218,
2025.04.02_18.45.55,77.897916,29.863835,JIO4G,4G,-87,2,226,
2025.04.02_18.46.09,77.89787,29.863749,JIO4G,4G,-88,2,225,
2025.04.02_18.46.25,77.897886,29.863841,JIO4G,4G,-88,3,215,
2025.04.02_18.46.34,77.897923,29.863935,JIO4G,4G,-89,3,222,
2025.04.02_18.46.41,77.897955,29.864021,JIO4G,4G,-88,4,222,
2025.04.02_18.46.49,77.898065,29.864048,JIO4G,4G,-90,4,221,
2025.04.02_18.46.56,77.898171,29.864086,JIO4G,4G,-89,4,218,
2025.04.02_18.47.03,77.898281,29.864083,JIO4G,4G,-89,4,217,
2025.04.02_18.47.11,77.898395,29.864093,JIO4G,4G,-89,4,217,
2025.04.02_18.47.19,77.898486,29.864153,JIO4G,4G,-91,4,214,
2025.04.02_18.47.24,77.898581,29.864086,JIO4G,4G,-85,4,217,
2025.04.02_18.47.30,77.89862,29.863988,JIO4G,4G,-91,4,217,
2025.04.02_18.47.37,77.898628,29.863886,JIO4G,4G,-91,4,217,
2025.04.02_18.47.44,77.898583,29.863803,JIO4G,4G,-91,4,219,
2025.04.02_18.47.48,77.898485,29.863773,JIO4G,4G,-92,4,221,
2025.04.02_18.47.54,77.898376,29.863786,JIO4G,4G,-95,4,224,
2025.04.02_18.48.01,77.898271,29.863825,JIO4G,4G,-90,4,230,
2025.04.02_18.48.08,77.898161,29.86385,JIO4G,4G,-92,4,230,
2025.04.02_18.48.20,77.89806,29.863771,JIO4G,4G,-89,3,230,
2025.04.02_18.48.29,77.897944,29.863781,JIO4G,4G,-89,4,224,
2025.04.02_18.48.40,77.897944,29.863781,JIO4G,2G,-113,0,224,
2025.04.02_18.48.43,77.897944,29.863781,JIO4G,4G,-88,0,224,
2025.04.02_18.48.43,77.897903,29.86369,JIO4G,4G,-88,3,241,
2025.04.02_18.48.50,77.897918,29.86359,JIO4G,4G,-82,4,240,
2025.04.02_18.48.55,77.89795,29.863496,JIO4G,4G,-81,4,240,
2025.04.02_18.49.00,77.898035,29.863443,JIO4G,4G,-86,4,239,
2025.04.02_18.49.08,77.898145,29.863426,JIO4G,4G,-83,4,236,
2025.04.02_18.49.09,77.898145,29.863426,JIO4G,4G,-79,4,236,
2025.04.02_18.49.17,77.898251,29.863425,JIO4G,4G,-81,4,232,
2025.04.02_18.49.26,77.89836,29.863431,JIO4G,4G,-77,4,229,
2025.04.02_18.49.36,77.898471,29.863438,JIO4G,4G,-77,4,232,
2025.04.02_18.49.40,77.898581,29.86346,JIO4G,4G,-76,4,226,
2025.04.02_18.49.48,77.898675,29.863419,JIO4G,4G,-86,4,223,
2025.04.02_18.49.58,77.898789,29.863391,JIO4G,4G,-97,4,228,
2025.04.02_18.50.05,77.898896,29.863388,JIO4G,4G,-98,4,223,
2025.04.02_18.50.14,77.899011,29.863389,JIO4G,4G,-97,3,227,
2025.04.02_18.50.22,77.899011,29.863389,JIO4G,4G,-102,3,227,
2025.04.02_18.50.22,77.89912,29.863395,JIO4G,4G,-102,3,225,
